# mag_r,classifiction_eff,detection_eff,eff_star
1.605555555555555713e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.616666666666666430e+01,nan,0.000000000000000000e+00,0.000000000000000000e+00
1.627777777777777857e+01,9.090909090909090606e-01,1.641791044776119424e-01,1.492537313432835688e-01
1.638888888888888573e+01,9.358974358974359031e-01,9.629629629629629095e-01,9.012345679012345734e-01
1.650000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.661111111111111427e+01,9.672131147540983243e-01,1.000000000000000000e+00,9.672131147540983243e-01
1.672222222222222143e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.683333333333333570e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.694444444444444287e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.705555555555555713e+01,9.880952380952381375e-01,1.000000000000000000e+00,9.880952380952381375e-01
1.716666666666666430e+01,9.883720930232557933e-01,1.000000000000000000e+00,9.883720930232557933e-01
1.727777777777777857e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.738888888888888573e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.750000000000000000e+01,9.896907216494845727e-01,1.000000000000000000e+00,9.896907216494845727e-01
1.761111111111111427e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.772222222222222143e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.783333333333333570e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.794444444444444287e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.805555555555555713e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.816666666666666430e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.827777777777777857e+01,1.000000000000000000e+00,9.931034482758620552e-01,9.931034482758620552e-01
1.838888888888888573e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.850000000000000000e+01,9.908256880733945504e-01,1.000000000000000000e+00,9.908256880733945504e-01
1.861111111111111427e+01,9.935897435897436125e-01,1.000000000000000000e+00,9.935897435897436125e-01
1.872222222222222143e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.883333333333333570e+01,9.938650306748466612e-01,1.000000000000000000e+00,9.938650306748466612e-01
1.894444444444444287e+01,9.940476190476190688e-01,9.882352941176471006e-01,9.823529411764705399e-01
1.905555555555555713e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.916666666666666430e+01,9.892473118279569988e-01,9.893617021276596146e-01,9.787234042553191182e-01
1.927777777777777857e+01,9.837837837837838384e-01,9.946236559139784994e-01,9.784946236559139976e-01
1.938888888888888573e+01,9.951219512195121908e-01,1.000000000000000000e+00,9.951219512195121908e-01
1.950000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.961111111111111427e+01,9.896907216494845727e-01,1.000000000000000000e+00,9.896907216494845727e-01
1.972222222222222143e+01,9.956140350877192846e-01,1.000000000000000000e+00,9.956140350877192846e-01
